," =COUNTIF(A:A,A1)>1"
64b4df49-39be-f950-f828051ccd80,"Writing to On Premise SQL Server, Extreamly Slow"
9d5fba7d-bbf3-945a-62d7d44baea4,htmlwidgets doesn't works since March3th
83276c46-ef85-cc9d-ce371683e7e7,genie
34e84a56-6b96-b842-b191b46e2431,2202280030000859_Need Genie Access
796f5a1b-73e0-9a15-7937329a2855,Databricks job hung for several hours 
46b3d9a8-5092-b0ff-d7c4f32c33e5,2.20E+15
94ca40a8-d3a7-6538-e00ca528f4ba,Have access to both DBFS in S3 and Glue Catalog at the same time
10a00503-92cb-784c-c68664060b25,Cluster got deleted
b4d08f29-6223-802a-63e09cf712e6,Genie access| ARR SR#2203080040001036
47a520f7-882f-4ac8-6a48dec9d544,Genie Access | ARR SR# 2203080040001036
a230c23f-b492-79b4-b46e3c5d188a,CSS-ARR-S500-SR#22021100300006770-Genie Access Request
03edd940-a75a-38e5-3ff450d548b8,00136641 follow up
e28d210a-5d20-95fc-ff6968653b3e,unable to access adlsfrom databricks
8a19f635-496d-4bda-8afdb6ae6e94,ARR -  Pyspark XGBoost Produce Inconsistent Result-  2202220040008191 
e67372c4-40f3-3ef7-c06e1e9f5960,Production HiveException: MetaException
c22cfd5d-e9bb-683b-5025dab4cc7b,Databricks cluster cannot be created
fa6f96c1-21e6-c097-b1a921ad6926,[ARR] SR-#2202240030000132 Getting error while using databricks runtime version 9.1 LTS and 10.0
2729adb4-86d0-982e-9f2066857bd3,OOM error on toPandas()
1344f610-6a2c-ad0d-befba2240941,Vacuum operation seems to have potentially produced a data loss
fd905019-b604-d425-2696b9e57be9,Genie Access - SR 2203070030001594 
6aaf2b1c-388f-5261-f29c55f6a2bb,genie
56e27d4b-2a57-e629-06b9fa8addd8,2.20E+15
03533e32-5c9e-3395-2ec090b8bb51,Unable to exit from python task
6bcc3009-a925-cd39-4c5af021188f,0239 - g - ARR - RCI - SQL results not expected
1b411af6-4a82-a735-a50327b42cdf,genie-Could not create a Table in the metastore specifying a location on ADLS  as the Databases was created specifying a location on a mount
09ffd506-3895-ebf9-8e2b28aec8ba,Unable to access Job / Lost permissions overnight
ac5610a4-18d1-08a0-738878de61af,SCIM API problems: certain workspaces hang and cannot filter on deactivated users
1d8556a0-cd9b-4942-857e0463355b,3121 - g - ARR - GAP - Job not finishing after all tasks complete
96cb53ad-11b0-56c2-d5f8b2e16228,manifest function on azure
71564e8f-edb5-870c-4e6fd97def2c,Need to connect new network interface to existing workspace
ce377976-e457-009c-04868fe53197,genie-Databricks notebook performance is degraded
970151e2-8b8a-fa04-d52a47f53925,2203070040006441Genie || D48ds_v4 Brazil South AllocationFailed
95ad0154-24f6-346c-b5445df1ef7a,all users git operations are failling with 'Invalid Git provider credentials'
3bafd785-b362-29fc-4cbc0bd1adec,DBR 9.1 - Losing 50% of executors in 1 hour
0474ea3b-23f3-51a0-cd3efa06dafd,Audit logs failing
3b13cf49-ed4b-8531-dbac8d3be659,Unity Catalog help
05a15c6b-6a1f-8b40-300020df4c25,Genie: Pepsico| 2202240030002096 | ML Training Model causing connection refuse
760d0569-689b-002f-acb1fd62d2ee,Please give access to submit support cases to team member
01e869dc-6f4a-545e-dc093181ca58,CMS (MDM) Security Hub Finding - Classic LB s/be configured w https or tls termination
ebe0fd86-9786-bb92-cc22cbec9a0a,2203070030002493 | Overwatch
ee64e443-b54d-b1c9-dcc85340353f,2203070030002493 | Cluster
6cbea401-8345-7fdd-baccf556681f,Assistance connecting VS Code to Databricks using DB Connect
29c56c2e-b326-92c6-22ce0a5bbc5c,Invite User Email results in error
0e3e5e77-ebb8-cece-3429467a9aa7,Query parsing errors
000222ea-2373-e4e1-2fb955b75752,Job Cluster is take too much time to start
418f0527-0374-94e5-24ed4d2aa278,Databricks Connect 9.1.10 throws ClassNotFoundException error
394b0648-d3a6-b655-6129ccb54931,2203070050002197-genie acess
137b6209-05f9-38bf-7029e5d3a305,Remote RPC client disassociated
d87474ce-649c-4d3b-a9aaa986a0cf,Scheduled query returned fewer rows than expected
2fa89f84-4860-32d2-7fbd0c4a793a,Issues with Delta Concurrency Control
8f91cd1e-e576-0a02-ec2da7bb7050,ARR Customer: PepsiCo - edap-internal-dbws-qa-eus-01-java_heap-meory issue
ecfabea5-59ac-5c0d-daa826ae9858,Genie Access Request
5d1bae7a-86e7-f882-a562c265aed1,genie-default/internal metastore is down
069129b0-5955-410c-c2f72076fd09,Pipeline unable to execute script to create init scripts
3dc7ced9-c70a-101e-3d8e45f9bec9,Databricks job is running slow and intermittently failing
f10e1438-d66a-7874-861a50568eba,Repos API Github Enterprise PAT not working
0845e559-1446-cb7d-57de8e8feb05,issue with fivetran  destination using sql endpoint 
d2a15808-3965-b6fa-aa84232a4e52,genie
00cabc9c-896a-a980-bccce2ee27bb,Aggressive autoscaling removing then immediately adding nodes
5676ac32-5d2f-87cf-fd31e45460a4,SSO is not working
041ba137-2692-1f50-990be5a065e8,2203040010002715-genie acess
3ecefec5-1550-149c-06aac94277da,2203040010002715-genie acess
f5991a01-99d5-8193-04219a396dfb,2203040010002715-genie acess
364169c7-a109-4d89-0e8c37182240,Genie for 2203070030001452 
d1c62416-113a-34cb-85d900d0ed94,2.20E+15
f65cc6da-21a3-55d3-8cad7e0696a2,ARR - 
56af915c-5a93-538b-cb224279fa15,unable to start a cluster in newly deployed cluster
d99f1b5b-e4a3-f15b-1ba04ae421ef,issue connecting to neo4j from HCC cluster
bb945d33-623b-d98a-d2934004a569,"Spark Streaming not ""streaming"", instead it is reading all data at once"
ec8f2cae-f829-a89b-3c9149a388f4,Databricks and Kepler GL
e831239f-95c7-bb0a-1e6ff7068c6b,Genie for 2203020050001288 
b58e8b31-bd92-af55-6bbd1ae3f2e3,"A streaming job failed with ""could not verify copy source"""
8034d6a7-fb3f-014c-8ac922b966c7,"CSS ARR | 2203030010000280 - Jobs running successfully in Databricks Runtime Versions 8.x and 9.0 , but running for a long time/ failing in runtime version 9.1 LTS."
042ef27e-86ee-f92e-6de8e7a545f9,AWS Glue/athena table based on json files is not available in Databricks
e5646ea1-87fc-95d7-e13742216288,Multiple Databricks jobs are failing in a Production Workspace - Spark Exception & Timed Out
9d04e4ee-5e57-838c-12e0dcd8a645,CSS-ARR-S500-SR#2203070030001567-Genie Access Request
fb295104-34b0-2a08-196e1f2b9040,Genie Access Request
2345d9c8-dee1-8d63-921b924687b0,Genie
9c09911d-6902-2728-c015db430fa9,Genie
04e54f7a-5b8f-552d-fbd071ee222f,Genie Access Request
adc34d12-9449-31db-78b525f0c34c,Unclear documentation
8020ee9b-2f32-9f8b-6e952944f957,2.20E+15
828dee14-ec30-48d1-7bfbf9b06e5c,Follow up to 00125739 and 00131826
40efb034-e0e3-658b-e306c6e7bbc3,2203070030001452_Need Genie Access
eb13a95d-bd49-1a89-00dd44fd1f65,unable to access adlsfrom databricks
9a9be0a3-1676-21e5-f2690fe328d2,Unauthorized access error message from Databricks Role.
2ad11da8-958e-ecbb-8589c70c575a,2.20E+15
62c8208b-f412-9cf1-7189d0edc228,IllegalStateException while runnig Databricks Prod Jobs
7c0dc6c5-a700-e57f-114f31cefc5a,2203070050000646 genie
0cd3e36c-991b-60e5-b32543877c25,htmlwidgets doesn't since March3th
6df63a14-6076-5ab2-f819fd44a28e,how to catch spark exception in python and scala spark when the Spark job failed
cfe87b76-9be5-d5ec-025c3008ccfa,GEnie
e1ab570f-9d72-f397-1bd814383c85,ExecutorLostFailure - spark specialist wanted to investigate jar job causing OutOfMemory
7219d38a-f428-a30f-0d90152c62ed,Managing Contacts
db55af00-3625-cb6b-f887697915db,Genie Access - Personal workspace test
6107a7ae-4ac8-4803-f83c0bdd6e77,2202210050000569 || Genie Access Request
85d1ae76-ac67-6d7a-5d8fb33b0dd0,Genie Access - Personal workspace test
7de2a2f4-b5ba-9f4b-1099bbebc600,Iinteractive clusters suddenly lost spark.databricks.clusterUsageTags.clusterWorkers  tag:
55a8fe26-ec58-7c1c-4ffb9d776a5c,2202250040001140 Genie
b82a315d-cb0b-7f83-8cab176e6d1d,Please help to check if the query had been sent to Databricks(follow up ticket 00136461)
dce429c4-58ca-3e1f-29a27c6a1b43,"[ARR] SR-2203030030001770 Databricks connection issue, when SQL endpoint goes down"
a76edf97-617a-b12b-0a5714d86e91,Inconsistent ETL Job Behaviour after upgradation to 7.3 LTS
30c240bc-299c-4e7e-d2c545bf5346,Hive Hooks with Databricks
35a8df92-78e3-4d3e-fe6575bfb769,py4j.security.Py4JSecurityException
9ffbef38-47bc-ffa9-64583a442bb9,2.20E+15
a89c7285-d56d-5a31-1d09807f4e7c,genie
1e2c8eb9-cf3a-20e3-82e0dc24eb8a,Trouble Calling Java Class from Scala Code
98ec467b-344a-0354-8821c0113ac8,What cluster manager types on Spark on Databricks
458541d2-1664-5e0a-d829f8978b4a,Databricks Upgrade and limiting the nodes to 2 in PVC
3bdff071-ec56-6f68-adfb51e32d64,Issue on installing anomalib library
32f6f63c-b144-3097-821dd695ff85,Unable to remove an admin user from account.databricks.com Portal
bb6c7293-7fd9-dfc7-f333f246f0cb,genie
19dc65f4-9cc3-3b0c-ecd0abd9c542,whether the azure databrick will create the kv automatically
c7aa29d8-2dfa-e3a0-f157114fb2d9,genie
b64045e0-41bc-3f0d-c0c3ec4ba04c,Genie US case
ab8da181-a61b-d26c-5a109b8f8784,Spikes in the use Databricks resources at the time of scheduled system downtimes
6dec7668-0e1f-b22e-04de40084e80,Use of auditd socket for auditing
042b0058-9dbe-db73-e635615d10c0,External Metastore setup not working as per documentation
abdc4cf5-bdf5-a3c1-5d9f0009a8fd, Multiple Databricks jobs are failing in a Production Workspace - Spark Exception & Timed Out
4ed4620c-896d-47f7-78cb164a1fbd,Genie Access | job performance differences in 2 days
c52a8153-e6da-863e-4285fbcfff6f,Notebook failing with Error java.io.IOException: No FileSystem for scheme: abfss
4f116766-fc14-c6dd-6b703cba938d,0051genie
6d37dc4c-e1db-db29-03417724bb89,genie
5bf7e157-18d4-3e5d-e9c481d68404,job got cancelled after running few commands | ARR SR # 2203050030000305
a94deda8-1b01-2002-ed15c26ecfbe,Genie access | ARR SR# 2203050030000305
e9f511a1-21e1-c770-848d03cc9d9a,We can't upgrade to current runtime version 10.x
e730d675-f979-0c71-0b5c45b90aca,install package databricks notebook
58637c9b-c327-3a5c-5dac6239f73c,Genie: ARR:  Databricks Notebook Not Reading File: SR 2203050030000305
2c1d9012-1120-cd9e-8def92da4752,Issues launching photon clusters
09e5f48f-934d-8be5-177aeedb4868,Partner Connect for Fivetran does not work for existing Fivetran account
2cde7cd1-063e-ed74-a79c00def73f,Issues reading gzip csv file from S3
035d880b-b01f-f59e-7436ba6529a7,isNull groupBy returns two false rows
7fc6c357-06c0-bfca-fc32443bbce0,Genie:ARR:Unable to connect to SQL MI(Managed Instance):SR2202230030002046
e3ecf4d0-ad9e-60b2-ecbe76bc76f4,VNET databricks jobs running slow - 2
36e0854b-e158-37d8-093ca35039ca, 2203040040007743 - Azure Databricks LinkedService is not able to connect to a Databricks cluster created from our own custom docker image
359e024a-664c-2c69-9c1f5f2f1f8c,Genie: Honeywell|2203040010002961|DBFS mount not working
d77daeac-31c9-295f-81002cad0695,Genie request
416e8861-fcb8-2155-21bfd87b7d73,Job run history does not show who executed the job
9caf0736-66ce-81f1-e894211971a7,Restrict admin login to only SAML. Do not allow local login
c1299c64-80e8-f33b-005b05d47498,databricks activity failing
9e04736e-b4fe-767d-4d0fa53bd48a,2203020010003574Genie|| Intermitent Delta Table Create or Replace Failures
bd9fc5ae-290a-f9f2-6b1d7170a32c,Delta lake schema evolution errors
bca576a7-fcc1-ccfa-885e9b371ee0,ARR - AT&T - Follow-up to 00136422
ac160e11-eb0a-89e6-0b4d648b0bb7,2754134964726624 - 81b4ec93-f52f-4194-9ad9-57e636bcd0b6 - 2202230040008781 
34f043f7-5afb-c155-0e29fcab26db,Job failed JVM failure (possibly GC?)
553b8c81-3e49-af69-c53b6c07fd9b,Job didnt perform as expected
1708c902-7655-a2bc-a573e5ce2376,ARR - Jobs Runs list API parameters not working as expected - 2203040010000722
6bd6883d-4829-ce79-dd18b456d98a,can not add instant profile to e2 workspaces - verification failed
ac43ac1a-3b41-7ee3-3d0483d887b0,Customer requesting for few lightweight options in DSv2 series and Dv2 series VMs for Azure Databricks
6b42351d-85d6-4dea-73373bece39f,Databricks write optimization
f65d46e5-fffd-ac20-2c2d74454ad2,Admin permissions getting revoked
5ea22f12-bec5-3a46-fefe2b9e193f,Increasing transaction log and deleted file retention
e294a68f-9cd4-3029-9f13347d8299,Job failing with Refresh Table error 
3b1ff793-ad6d-8bdc-dd222c2ca03d,R libraries failing for clusters
aaf505b2-6172-37ec-dc49233e384b,unable to authenticate to ALDS account using init script and secrets 
5bb0e02d-3b3c-2341-d18ac1abc510,Model Training vs Serving Library Versions
d685cf4b-b6e4-49e3-ee06ef69dbcc,Genie access request
38a39948-d20b-92c0-aead776649dc,"Kryo serialization failed: Buffer overflow. Available: 0, required: 9"
5dea5c80-31de-df0a-1dbc51a31518,Genie access request
55568c39-8f67-ffa4-d1264efd6aeb,Genie Access request
5e090d0c-d468-7479-9f43f84eec17,Genie Access
e18114cf-2b7a-ff6a-f54d842bcd05,AccessDeniedException: s3a://uat-databricks-trade-blotter/
b97c8c4b-7eeb-4ea4-fdc82a202fdb,Casting differences between  DBRs 7.3 LTS & 9.1 LTS
45bb51cc-46a6-dd60-a26d9f467cd1,Follow up: ARR: Databricks Parallel Execution Performance Issues:SR 2202250040005364
6993c9cd-37d3-ae70-eb189a5918ef,Job failed with error message Unexpected infra fault while creating the cluster 
bc818051-79cd-856c-58cc1628f942,Slow runtimes for jobs with many DDL changes
4109ca44-68a3-e999-9f9f75aa4006,Genie Access request
f178eaa0-c7b7-ff13-9dde0f565450,Hudi dataformat on databricks
79b52da9-383a-2393-4b6ff5410898,UI freezes with notebooks after some number of cells
b31fed59-0c4c-778e-a2573d95107d,Streaming Hangs
ca7c82c6-654b-ae6d-dfd983228157,SQL Endpoints failed to start
5be2e217-8b91-7b25-6c6030538a65,DDL error
f8dad49f-8077-dcf7-d4caccac5290,AT&T - SparkGeo Library not working on DBR 9.1 LTS with GPU
73aa4718-0d95-e6dd-058e48f7e568,Databricks notebooks requiring users to rerun
158eec32-c21c-69bb-8d903ec1e3db,genie-Need to stop paying for premium
e5e183fd-6c9c-be63-b9baeb944863,Anaconda terms of service change and impact on MLflow inference usage
df3f1188-07fc-9d7b-efbc9eb7501d,ARR Customer: AT&T - Issue with INIT Script
e4376d9c-b00e-9673-d21cbcfe67ae,Job failing with Unknown host exception
88201d93-8c5c-c67b-0265e7f1c349,Databricks cluster not starting
6c408ffd-5a35-e6e8-e68f5b9691af,CREATE TABLE doesn't work with existing delta files in table location
3572244b-f064-4388-f09c2b27f616,Skip rows for read csv
412054ee-c891-130a-f68b32fc52de,Genie Access Request
fff2dd5a-7c2b-6d9f-8629134164eb,Genie 
54c54bc1-6f2f-6a32-d0df3a737e59,Cluster start issue throwing bootstrap timeout error
03a538b9-392d-c504-1281e6389da0,Databricks infra failure
ff155b37-e81a-35c0-5a8c89b09e3c,Issue hitting our workspace api from internally
fa34405d-ec2a-a826-c391fbfe0627,Withstand Databricks Job failures due to intermittent network packet drops.
3cd383ef-52fa-fdb5-e80537e1414f,Genie Access Request
6e51586d-114b-0393-932e282c1e8d,ARR - Boeing - 2203040040000031 - Streaming code failed with FileReadException
b69d174c-9ad1-7348-6a1f4fbde81a,Not able to connect Snowflake
c754a2e8-5d50-3aa2-37a9cc3c2b15,not able to create cluster
aee7c49d-2815-4333-e41ee04a656d,Unable to use certain packages in Graviton based instances
d853693e-e4ba-a631-08ecbd0a6157,Cannot authorize python API for MLFlow
d3907817-1597-7985-f85c8be150eb,Need assistance to configure databricks workspace settings using databricks API
2ddfab26-f169-2e84-0099353ece64,Databricks job fails after running 150-180 hours
359441b6-23ca-2ae7-feab45acc6e9,Search on job page stop searching by parameters of active runs
96db6994-14e5-25ab-aabc9b447718,genie
557a7b07-819a-563b-4080e7b37b8b,Need help on optimising of spark job with range join
2556aa79-3d95-da6e-07311dd14dac,genie
0e765520-2792-89a3-c3c595bc7ec4,ARR | different results when running streaming and batch jobs | 2202250050001792 
a78126c1-9099-0850-a47321c32300,Genie Access | ARR SR #2202080040002796
8a222720-861a-c3ba-c28d3d95f296,Job fails as the notebook commands are getting cancelled | ARR SR # 2203020030002029
b9ad8c2b-5b58-e6d7-3c2a37dd8d77,"Databricks cluster appears healthy , but no workers are available"
b0a01a4c-e4b5-abae-0339cbf2edfc,Events not read since Sat 02-12 from prod
30437674-4e93-5f73-131c87184970,2112070040000520 - genie 1235123
791bc52c-613b-97ba-76126d90e546,Hourly job failed with 'path does not exists' error although the path was actually present in storage | ARR SR # 2203020030002029
b6b4f1b9-190b-2285-dad1043dc432,scope limit of 300 is exceeded in dev 
59a03dcf-c585-2c06-f0b52d7b6bff,2111250050000480 - genie new ws
fa58f785-9cda-a2ef-a14c3924dbd0,New VPC Security group ID
6972cc36-1b04-e03e-8b248e97822b,Can't create new workspace using REST API
a4627d9b-2d6e-ad9e-782cec6c9521,2203020050002002 - JDBC Connection from Tableau
3ad7edde-a546-9f86-291d93a3b782,Genie
c347cbb9-4c55-5c19-f04ffc47a3cc,Genie Access - SR 2203020030002269
59669cff-1228-60cf-be40175e2e83,Genie
c9319a3a-fb2a-77ed-e10f03826c66,INTERNAL_ERROR when starting job clusters
e5733512-f3c6-4217-f2e0a2b7b8f9,Genie Access
f8849925-f0d1-371b-8613ad220b5e,genie
647a3bf2-f32a-85e4-78a9363f32eb,Installing libraries in the cluster makes notebooks hung.
8b3bcd8e-55e0-576b-16289d64cd2a,Failure in launching Job cluster
f0711dec-bf87-bf83-4aa8e3685b7e,Databricks Autoloader Queue Loading Too Slow & Hanging Tasks
0b1c30ed-4bbf-6fe9-5fddba2fd865,cannot start the cluster
6ae14566-493b-a4fa-c13d386c8529,The internal Metastore is down
a7e7ef4c-c205-09eb-79c247cde223,Genie Access | ARR SR# 2203040030000703
6b4a31bd-fe12-57fc-3b7ebf6cccbe,Server error
e5048ec0-e131-31a2-976d518abce0,genie access
31ad1378-7e18-2359-1a8174b60a91,Hive table is empty
8b2aa5f1-0cf1-f969-6445a1de99df,2.20E+15
9944d83c-2f1c-279b-09960f0a740a,jobs are failing with INTERNAL_ERROR
6e2150df-6277-7b92-13a12ca50090,Genie Access - SR 2202240030001890
74cff392-b65e-6e33-ce7182ce4dff,All jobs failed around 6pm MST
15af9f73-ec9d-5366-23868de07170,Invalid Git provider credentials while using repos
944c132c-1a88-13c3-6e79e83c4465,Performance issues- query is stuck at Filtering for files
27705f1e-1a4f-a850-70e077185f30,Genie: UHG |  2203040040000881 | Stage failure
e9f0110c-4b11-48a4-bd8da88a2235,2539 - ARR - cibc - Design Change request - Need to be able to have higher priority rules above Databricks defaults.
1ae44882-1241-bf9e-eb30a611abb0,Genie 
6362b6b2-5cd8-9c4f-fdbe87f97bbb,Cannot access Newly Created Workspace (E2)
39cfb137-fa2f-10f8-6c559b33d2a7,genie
369e926f-4368-cbeb-04f3d9b2e41c,jobs are failing on https://tpx-sse-ds-comcast.cloud.databricks.com workspace
d279198a-3c8d-48b4-9f689558d87d,Databricks jobs failing with INTERNAL Error
fc4da67e-fc8e-d21b-fbe96b721d74,user cancelled jobs are returning ActionName as ‘runFailed’
4373466d-acee-9ee2-26c597c2c1d0,Databricks legacy shards job failures..
